transaction_date,value_date,narration,ref_no,credit,debit,currency
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0020/pay_EXACT_0020_4752/SETTL,UTR_EX_0020,20634.16,0.0,INR
2026-08-01,2026-08-01,IMPS/RAZORPAY/UTR_RND_0004/pay_ROUND_0004,UTR_RND_0004,2839.05,0.0,INR
2026-08-03,2026-08-03,UPI/RZP/pay_FUZZY_006AB0/PAYMENT,pay_FUZZY_006AB0,3731.49,0.0,INR
2026-08-03,2026-08-03,IMPS/RAZORPAY/UTR_RND_0005/pay_ROUND_0005,UTR_RND_0005,6384.12,0.0,INR
2026-08-03,2026-08-04,NEFT-RZP-PAYOUT-UTR_FEE_0002-pay_FEE_0002_2796,UTR_FEE_0002,8288.88,0.0,INR
2026-08-12,2026-08-12,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0006 FROM ACME CORP,DIRECT_BANK_NEFT_0006,48481.15,0.0,INR
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0018/pay_EXACT_0018_5010/SETTL,UTR_EX_0018,4503.36,0.0,INR
2026-08-27,2026-08-27,ACH-CR-RZP-UTR_DELAY_0012-pay_DELAY_0012_3697,UTR_DELAY_0012,7753.06,0.0,INR
2026-08-04,2026-08-04,IMPS/RAZORPAY/UTR_RND_0006/pay_ROUND_0006,UTR_RND_0006,6745.05,0.0,INR
2026-08-05,2026-08-05,NEFT-RZP-PAYOUT-UTR_FEE_0010-pay_FEE_0010_2743,UTR_FEE_0010,42625.14,0.0,INR
2026-08-04,2026-08-04,IMPS/RAZORPAY/UTR_RND_0003/pay_ROUND_0003,UTR_RND_0003,4335.87,0.0,INR
2026-08-05,2026-08-05,CMS/RAZORPAY/UTR_EX_0019/pay_EXACT_0019_4598/SETTL,UTR_EX_0019,17273.05,0.0,INR
2026-08-03,2026-08-04,NEFT-RZP-PAYOUT-UTR_FEE_0011-pay_FEE_0011_9317,UTR_FEE_0011,30111.73,0.0,INR
2026-08-02,2026-08-02,UPI/RZP/pay_FUZZY_004AB0/PAYMENT,pay_FUZZY_004AB0,5612.41,0.0,INR
2026-08-02,2026-08-03,CMS/RAZORPAY/UTR_EX_0011/pay_EXACT_0011_7201/SETTL,UTR_EX_0011,2430.6,0.0,INR
2026-08-15,2026-08-15,ACH-CR-RZP-UTR_DELAY_0006-pay_DELAY_0006_2604,UTR_DELAY_0006,2334.71,0.0,INR
2026-08-05,2026-08-05,BULK-RZP-SETTL-UTR_BATCH_0002-TOTAL-8651.45,UTR_BATCH_0002,8651.45,0.0,INR
2026-08-03,2026-08-04,NEFT-RZP-PAYOUT-UTR_FEE_0018-pay_FEE_0018_8787,UTR_FEE_0018,46277.06,0.0,INR
2026-08-04,2026-08-04,UPI/RZP/pay_FUZZY_005AB0/PAYMENT,pay_FUZZY_005AB0,9950.16,0.0,INR
2026-08-21,2026-08-21,ACH-CR-RZP-UTR_DELAY_0009-pay_DELAY_0009_4872,UTR_DELAY_0009,4244.13,0.0,INR
2026-08-02,2026-08-02,UPI/RZP/pay_FUZZY_009AB0/PAYMENT,pay_FUZZY_009AB0,9373.51,0.0,INR
2026-08-07,2026-08-07,ACH-CR-RZP-UTR_DELAY_0002-pay_DELAY_0002_4116,UTR_DELAY_0002,10348.71,0.0,INR
2026-08-01,2026-08-01,NEFT-RZP-UTR_AMBIG_00-CONFLICT,UTR_AMBIG_00,999.0,0.0,INR
2026-08-04,2026-08-05,CMS/RAZORPAY/UTR_EX_0016/pay_EXACT_0016_7065/SETTL,UTR_EX_0016,9204.13,0.0,INR
2026-08-02,2026-08-02,NEFT-RZP-PAYOUT-UTR_FEE_0012-pay_FEE_0012_7126,UTR_FEE_0012,37457.66,0.0,INR
2026-08-03,2026-08-03,ACH-CR-RZP-UTR_DELAY_0000-pay_DELAY_0000_6559,UTR_DELAY_0000,14709.78,0.0,INR
2026-08-02,2026-08-03,NEFT-RZP-PAYOUT-UTR_FEE_0016-pay_FEE_0016_2403,UTR_FEE_0016,35993.49,0.0,INR
2026-08-05,2026-08-05,ACH-CR-RZP-UTR_DELAY_0001-pay_DELAY_0001_2790,UTR_DELAY_0001,5602.83,0.0,INR
2026-08-05,2026-08-05,NEFT-RZP-PAYOUT-UTR_FEE_0014-pay_FEE_0014_6947,UTR_FEE_0014,43017.61,0.0,INR
2026-08-29,2026-08-29,ACH-CR-RZP-UTR_DELAY_0013-pay_DELAY_0013_7396,UTR_DELAY_0013,5875.85,0.0,INR
2026-08-03,2026-08-03,NEFT-RZP-PAYOUT-UTR_FEE_0013-pay_FEE_0013_6310,UTR_FEE_0013,24353.06,0.0,INR
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0015/pay_EXACT_0015_5554/SETTL,UTR_EX_0015,11608.55,0.0,INR
2026-08-08,2026-08-08,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0002 FROM ACME CORP,DIRECT_BANK_NEFT_0002,37005.72,0.0,INR
2026-08-03,2026-08-03,NEFT-RZP-PAYOUT-UTR_FEE_0017-pay_FEE_0017_9727,UTR_FEE_0017,37616.68,0.0,INR
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0008/pay_EXACT_0008_6514/SETTL,UTR_EX_0008,3004.15,0.0,INR
2026-08-02,2026-08-02,IMPS/RAZORPAY/UTR_RND_0007/pay_ROUND_0007,UTR_RND_0007,5466.44,0.0,INR
2026-08-04,2026-08-04,BULK-RZP-SETTL-UTR_BATCH_0001-TOTAL-14375.75,UTR_BATCH_0001,14375.75,0.0,INR
2026-08-03,2026-08-03,NEFT-RZP-PAYOUT-UTR_FEE_0000-pay_FEE_0000_7543,UTR_FEE_0000,18295.61,0.0,INR
2026-08-04,2026-08-04,UPI/RZP/pay_FUZZY_002AB0/PAYMENT,pay_FUZZY_002AB0,10942.46,0.0,INR
2026-08-05,2026-08-05,UPI/RZP/pay_FUZZY_000AB0/PAYMENT,pay_FUZZY_000AB0,11359.1,0.0,INR
2026-08-02,2026-08-03,CMS/RAZORPAY/UTR_EX_0000/pay_EXACT_0000_2824/SETTL,UTR_EX_0000,1112.76,0.0,INR
2026-08-06,2026-08-06,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0000 FROM ACME CORP,DIRECT_BANK_NEFT_0000,14161.48,0.0,INR
2026-08-03,2026-08-03,CMS/RAZORPAY/UTR_EX_0005/pay_EXACT_0005_9928/SETTL,UTR_EX_0005,10778.24,0.0,INR
2026-08-06,2026-08-07,NEFT-RZP-PAYOUT-UTR_FEE_0007-pay_FEE_0007_6573,UTR_FEE_0007,6313.46,0.0,INR
2026-08-04,2026-08-04,CMS/RAZORPAY/UTR_EX_0024/pay_EXACT_0024_9830/SETTL,UTR_EX_0024,6937.17,0.0,INR
2026-08-04,2026-08-04,UPI/RZP/pay_FUZZY_007AB0/PAYMENT,pay_FUZZY_007AB0,3685.98,0.0,INR
2026-08-07,2026-08-07,BULK-RZP-SETTL-UTR_BATCH_0004-TOTAL-18320.85,UTR_BATCH_0004,18320.85,0.0,INR
2026-08-01,2026-08-02,CMS/RAZORPAY/UTR_EX_0014/pay_EXACT_0014_2307/SETTL,UTR_EX_0014,21455.28,0.0,INR
2026-08-31,2026-08-31,ACH-CR-RZP-UTR_DELAY_0014-pay_DELAY_0014_8454,UTR_DELAY_0014,6206.61,0.0,INR
2026-08-01,2026-08-01,IMPS/RAZORPAY/UTR_RND_0001/pay_ROUND_0001,UTR_RND_0001,8587.75,0.0,INR
2026-08-10,2026-08-10,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0004 FROM ACME CORP,DIRECT_BANK_NEFT_0004,70501.4,0.0,INR
2026-08-03,2026-08-03,NEFT-RZP-PAYOUT-UTR_FEE_0015-pay_FEE_0015_4923,UTR_FEE_0015,3747.74,0.0,INR
2026-08-07,2026-08-07,DIRECT NEFT CLIENT TRANSFER DIRECT_BANK_NEFT_0001 FROM ACME CORP,DIRECT_BANK_NEFT_0001,50185.06,0.0,INR
2026-08-06,2026-08-06,NEFT-RZP-PAYOUT-UTR_FEE_0019-pay_FEE_0019_5342,UTR_FEE_0019,26222.22,0.0,INR
2026-08-11,2026-08-11,ACH-CR-RZP-UTR_DELAY_0004-pay_DELAY_0004_5563,UTR_DELAY_0004,9133.36,0.0,INR
2026-08-02,2026-08-02,IMPS/RAZORPAY/UTR_RND_0000/pay_ROUND_0000,UTR_RND_0000,9627.4,0.0,INR
2026-08-05,2026-08-05,CMS/RAZORPAY/UTR_EX_0013/pay_EXACT_0013_1750/SETTL,UTR_EX_0013,16700.95,0.0,INR
2026-08-05,2026-08-05,CMS/RAZORPAY/UTR_EX_0004/pay_EXACT_0004_1434/SETTL,UTR_EX_0004,14250.5,0.0,INR
